Application,Average_Duration,Average_Voltage,Average_Intensity,Average_Power,Average_Consumed_Charge,Average_Energy,Total_Energy
TikTok,383.72933333333333,4012.286,1330.209497248,5.377057001333333,0.13030597866666668,1.8896637933333331,2834.4956899999997
Instagram,324.35066666666665,4031.2606666666666,649.2211898353333,2.6548104,0.06759887199999999,0.9986159266666667,1497.92389
YouTube,412.07866666666666,4085.3893333333335,1181.8275590979845,4.645397946,0.11868092333333333,1.7433216113333334,2614.982417
