start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763730446122,1763730452871,6749,3874,2245,399.800100,1.548826,0.749514,10.453024,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,screen
1763730452871,1763730452872,1,3874,2245,399.800100,1.548826,0.000111,0.001549,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,*launch*
1763730452872,1763730452896,24,3874,2245,399.800100,1.548826,0.002665,0.037172,,True,False,False,True,True,False,False,False,*launch*
1763730452896,1763730452909,13,3874,2245,399.800100,1.548826,0.001444,0.020135,com.instagram.android,True,False,False,True,True,False,False,False,*launch*
1763730452909,1763730452918,9,3874,2245,399.800100,1.548826,0.001000,0.013939,com.instagram.android,True,False,False,True,True,False,False,False,*job*/com.facebook.appmanager/com.facebook.analytics2.logger.legacy.uploader.LollipopUploadService#2131230721
1763730452918,1763730453058,140,3874,2245,399.800100,1.548826,0.015548,0.216836,com.instagram.android,True,False,False,True,True,False,False,False,*launch*
1763730453058,1763730453066,8,3874,2245,399.800100,1.548826,0.000888,0.012391,com.instagram.android,True,False,False,True,True,False,False,False,*job*/com.facebook.katana/com.facebook.feed.platformads.AppInstallTrackerService#2131366264
1763730453066,1763730453303,237,3874,2245,399.800100,1.548826,0.026320,0.367072,com.instagram.android,True,False,False,True,True,False,False,False,*launch*
1763730453303,1763730453383,80,3874,2245,399.800100,1.548826,0.008884,0.123906,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730453383,1763730453399,16,3874,2245,399.800100,1.548826,0.001777,0.024781,com.instagram.android,True,False,False,True,True,False,False,False,*job*/com.facebook.appmanager/com.facebook.oxygen.common.jobqueue.JobQueueService#5100
1763730453399,1763730453789,390,3874,2245,399.800100,1.548826,0.043312,0.604042,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730453789,1763730453791,2,3874,2245,399.800100,1.548826,0.000222,0.003098,com.instagram.android,True,False,False,True,True,False,False,False,*job*/com.facebook.appmanager/com.facebook.oxygen.appmanager.update.core.UpdateService#5500
1763730453791,1763730453908,117,3874,2245,399.800100,1.548826,0.012994,0.181213,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730453908,1763730453909,1,3874,2245,399.800100,1.548826,0.000111,0.001549,com.instagram.android,True,False,False,True,True,False,False,False,*job*/com.facebook.appmanager/com.facebook.oxygen.appmanager.update.core.UpdateService#5500
1763730453909,1763730454253,344,3874,2245,399.800100,1.548826,0.038203,0.532796,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730454253,1763730454981,728,3874,2245,399.800100,1.548826,0.080848,1.127545,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730454981,1763730454982,1,3874,2245,399.800100,1.548826,0.000111,0.001549,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730454982,1763730454994,12,3874,2245,399.800100,1.548826,0.001333,0.018586,com.instagram.android,True,False,False,True,True,False,False,False,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation
1763730454994,1763730455351,357,3874,2245,399.800100,1.548826,0.039647,0.552931,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730455351,1763730455380,29,3874,2245,399.800100,1.548826,0.003221,0.044916,com.instagram.android,True,False,False,True,True,False,False,False,*job*/com.facebook.appmanager/com.facebook.oxygen.common.jobqueue.JobQueueService#5100
1763730455380,1763730455545,165,3874,2245,399.800100,1.548826,0.018324,0.255556,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730455545,1763730455732,187,3874,2245,399.800100,1.548826,0.020767,0.289630,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730455732,1763730455752,20,3874,2245,399.800100,1.548826,0.002221,0.030977,com.instagram.android,True,False,False,True,True,False,False,False,
1763730455752,1763730455755,3,3874,2245,399.800100,1.548826,0.000333,0.004646,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730455755,1763730456417,662,3874,2245,399.800100,1.548826,0.073519,1.025323,com.instagram.android,True,False,False,True,True,False,False,True,ExoPlayer:WakeLockManager
1763730456417,1763730456499,82,3874,2245,399.800100,1.548826,0.009107,0.127004,com.instagram.android,True,False,False,True,True,False,False,True,AudioMix
1763730456499,1763730457210,711,3874,2245,399.800100,1.548826,0.078961,1.101215,com.instagram.android,True,False,False,True,True,False,False,True,ExoPlayer:WakeLockManager
1763730457210,1763730457264,54,3874,2245,399.800100,1.548826,0.005997,0.083637,com.instagram.android,True,False,False,True,True,False,False,True,NetworkStats
1763730457264,1763730458903,1639,3874,2245,399.800100,1.548826,0.182020,2.538525,com.instagram.android,True,False,False,True,True,False,False,True,ExoPlayer:WakeLockManager
1763730458903,1763730458950,47,3874,2245,399.800100,1.548826,0.005220,0.072795,com.instagram.android,True,False,False,True,True,False,False,True,NetworkStats
1763730458950,1763730459606,656,3874,2245,399.800100,1.548826,0.072852,1.016030,com.instagram.android,True,False,False,True,True,False,False,True,ExoPlayer:WakeLockManager
1763730459606,1763730461093,1487,3874,2245,399.800100,1.548826,0.165140,2.303104,com.instagram.android,True,False,False,True,True,False,False,True,ExoPlayer:WakeLockManager
1763730461093,1763730461282,189,3874,2245,399.800100,1.548826,0.020990,0.292728,com.instagram.android,True,False,False,True,True,False,False,True,AudioMix
1763730461282,1763730461283,1,3874,2245,399.800100,1.548826,0.000111,0.001549,com.instagram.android,True,False,False,True,True,False,False,True,
1763730461283,1763730461284,1,3874,2245,399.800100,1.548826,0.000111,0.001549,com.instagram.android,True,False,False,True,True,False,False,True,
1763730461284,1763730462102,818,3874,2245,399.800100,1.548826,0.090843,1.266939,com.instagram.android,True,False,False,True,True,False,False,False,
1763730462102,1763730462256,154,3874,2245,399.800100,1.548826,0.017103,0.238519,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730462256,1763730462601,345,3874,2245,399.800100,1.548826,0.038314,0.534345,com.instagram.android,True,False,False,True,True,False,False,False,
1763730462601,1763730462896,295,3874,2245,399.800100,1.548826,0.032761,0.456904,com.instagram.android,True,False,False,True,True,False,False,False,AudioMix
1763730462896,1763730462997,101,3874,2245,399.800100,1.548826,0.011217,0.156431,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730462997,1763730463124,127,3874,2245,399.800100,1.548826,0.014104,0.196701,com.instagram.android,True,False,False,True,True,False,False,False,AudioMix
1763730463124,1763730463170,46,3874,2245,399.800100,1.548826,0.005109,0.071246,com.instagram.android,True,False,False,True,True,False,False,False,*gms_scheduler*:internal
1763730463170,1763730463186,16,3874,2245,399.800100,1.548826,0.001777,0.024781,com.instagram.android,True,False,False,True,True,False,False,False,*gms_scheduler*:internal
1763730463186,1763730463247,61,3874,2245,399.800100,1.548826,0.006774,0.094478,com.instagram.android,True,False,False,True,True,False,False,False,*gms_scheduler*/com.google.android.gms/.icing.proxy.IcingInternalCorporaUpdateService
1763730463247,1763730463249,2,3874,2245,399.800100,1.548826,0.000222,0.003098,com.instagram.android,True,False,False,True,True,False,False,False,AudioMix
1763730463249,1763730463273,24,3874,2245,399.800100,1.548826,0.002665,0.037172,com.instagram.android,True,False,False,True,True,False,False,False,*gms_scheduler*:internal
1763730463273,1763730463276,3,3874,2245,399.800100,1.548826,0.000333,0.004646,com.instagram.android,True,False,False,True,True,False,False,False,AudioMix
1763730463276,1763730463288,12,3874,2245,399.800100,1.548826,0.001333,0.018586,com.instagram.android,True,False,False,True,True,False,False,False,*gms_scheduler*:internal
1763730463288,1763730463917,629,3874,2245,399.800100,1.548826,0.069854,0.974211,com.instagram.android,True,False,False,True,True,False,False,False,AudioMix
1763730463917,1763730463984,67,3874,2245,399.800100,1.548826,0.007441,0.103771,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730463984,1763730464224,240,3874,2245,399.800100,1.548826,0.026653,0.371718,com.instagram.android,True,False,False,True,True,False,False,False,AudioMix
1763730464224,1763730464587,363,3874,2245,399.800100,1.548826,0.040313,0.562224,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730464587,1763730464710,123,3874,2245,399.800100,1.548826,0.013660,0.190506,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730464710,1763730465267,557,3874,2245,399.800100,1.548826,0.061858,0.862696,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730465267,1763730465269,2,3874,2245,399.800100,1.548826,0.000222,0.003098,com.instagram.android,True,False,False,True,True,False,False,False,*alarm*:WakingExecutorService.ACTION_ALARM.com.facebook.orca.Mqtt_Wakeup
1763730465269,1763730465375,106,3874,2245,399.800100,1.548826,0.011772,0.164176,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730465375,1763730465526,151,3874,2245,399.800100,1.548826,0.016769,0.233873,com.instagram.android,True,False,False,True,True,False,False,False,ExoPlayer:WakeLockManager
1763730465526,1763730465547,21,3874,2245,399.800100,1.548826,0.002332,0.032525,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730465547,1763730465550,3,3874,2245,399.800100,1.548826,0.000333,0.004646,com.instagram.android,True,False,False,True,True,False,False,False,*telephony-radio*
1763730465550,1763730465569,19,3874,2245,399.800100,1.548826,0.002110,0.029428,com.instagram.android,True,False,False,True,True,False,False,False,*telephony-radio*
1763730465569,1763730465570,1,3874,2245,399.800100,1.548826,0.000111,0.001549,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730465570,1763730465576,6,3874,2245,399.800100,1.548826,0.000666,0.009293,com.instagram.android,True,False,False,True,True,False,False,False,*telephony-radio*
1763730465576,1763730466431,855,3874,2245,399.800100,1.548826,0.094953,1.324246,com.instagram.android,True,False,False,True,True,False,False,False,screen
1763730466431,1763730466473,42,3874,2245,399.800100,1.548826,0.004664,0.065051,com.instagram.android,True,False,False,True,True,False,False,False,NetworkStats
